2026-09-11 20:33:54 | WARNING  | agents.retriever | Collection 'research_docs' has dim=384 but we need dim=768. Deleting and recreating...
2026-09-11 20:33:58 | ERROR    | agents.retriever | Error embedding content (GoogleGenerativeAIError): Error embedding content (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-09-11 20:33:58 | WARNING  | agents.retriever | Qdrant unavailable, using fallback: embedding error: Error embedding content (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-09-11 20:33:59 | WARNING  | core.scorer | [Scorer] No Qdrant scores available — using penalty default 0.4
2026-09-11 20:34:04 | ERROR    | agents.retriever | Error embedding content (GoogleGenerativeAIError): Error embedding content (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-09-11 20:34:04 | WARNING  | agents.retriever | Qdrant unavailable, using fallback: embedding error: Error embedding content (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-09-11 20:34:06 | WARNING  | core.scorer | [Scorer] No Qdrant scores available — using penalty default 0.4
2026-09-11 20:34:13 | ERROR    | agents.retriever | Error embedding content (GoogleGenerativeAIError): Error embedding content (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-09-11 20:34:13 | WARNING  | agents.retriever | Qdrant unavailable, using fallback: embedding error: Error embedding content (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-09-11 20:34:14 | WARNING  | core.scorer | [Scorer] No Qdrant scores available — using penalty default 0.4
2026-09-11 20:54:58 | ERROR    | agents.retriever | [Query: Impact of deep reasoning models (e.g. OpenAI o3, D...] Error embedding content (GoogleGenerativeAIError): Error embedding content (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
